Y	MOVE	MISSPRISM	CHASUBLE	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><locomotion sbm:follow="CHASUBLE" type="basic" manner="walk" proximity="50"/></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">I had also with me a somewhat old, but capacious hand-bag in which I had intended to place the manuscript of a work of fiction that I had written during my few unoccupied hours. In a moment of mental abstraction, for which I never can forgive myself, I deposited the manuscript in the basinette, and placed the baby in the hand-bag.</speech></bml></act>
N	SPEAK	JACK	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="JACK" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">But where did you deposit the hand-bag?</speech></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Do not ask me, Mr. Worthing.</speech></bml></act>
N	SPEAK	JACK	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="JACK" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Miss Prism, this is a matter of no small importance to me. I insist on knowing where you deposited the hand-bag that contained that infant.</speech></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">I left it in the cloak-room of one of the larger railway stations in London.</speech></bml></act>
N	SPEAK	JACK	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="JACK" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">What railway station?</speech></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">Victoria. The Brighton line.</speech></bml></act>
N	MOVE	MISSPRISM	CHAIR	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><locomotion target="CHAIR" type="basic" manner="walk" /></bml></act>
N	SPEAK	JACK	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="JACK" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">I must retire to my room for a moment. Gwendolen, wait here for me.</speech></bml></act>
N	SPEAK	GWENDOLEN	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="GWENDOLEN" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">If you are not too long, I will wait here for you all my life.</speech></bml></act>
N	MOVE	JACK	BACKSTAGERIGHT	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="JACK" role="actor" /><bml><locomotion target="BACKSTAGERIGHT" type="basic" manner="walk" /></bml></act>
Y	MOVE	MISSPRISM	BOOK	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><gesture lexeme="POINT" target="BOOK" /></bml></act>
Y	MOVE	MISSPRISM	BOOK	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><locomotion target="BOOK" type="basic" manner="walk" /></bml></act>
Y	MOVE	MISSPRISM	BOOK	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><bml><sbm:reach sbm:action="pick-up" target="BOOK"/></bml></act>
N	SPEAK	MISSPRISM	XXXXX	<?xml version="1.0" encoding="UTF-8" standalone="no" ?><act><participant id="MISSPRISM" role="actor" /><fml><turn start="take" end="give" /><affect type="neutral" target="addressee"></affect><culture type="neutral"></culture><personality type="neutral"></personality></fml><bml><speech id="sp1" ref="" type="application/ssml+xml">I am going to read that book.</speech></bml></act>
